Total income from operations,Employees cost,depreciat,Other expenses,"P/l before other inc. , int., excpt. items & tax",Other income,"P/l before int., excpt. items & tax",Interest,P/l before exceptional items & tax,Tax,Net profit/(loss) for the period
5.97,3.52,0.08,1.61,0.75,0,0.75,0.08,0.68,0,0.68
7.38,4.7,0.11,2.19,0.38,0.05,0.43,0.11,0.32,-1.09,1.41
9.81,3.83,0.09,4.46,1.43,0,1.43,0.08,1.35,0.1,1.25
7.44,3.92,0.09,2.48,0.95,0.01,0.96,0.06,0.9,0,0.9
7.46,3.97,0.09,2.85,0.55,0.04,0.59,0.08,0.51,0,0.51
9.4,4.14,0.1,5.38,-0.22,0.2,-0.02,0.08,-0.1,0.9,-0.99
6.29,3.4,0.08,2.56,0.25,0,0.26,0.08,0.18,0,0.18
7.52,3.11,0.09,0.7,0.49,0.01,0.5,0.07,0.43,0,0.42
9.14,3.66,0.1,0.79,0.08,0,0.08,0.1,-0.02,0,-0.03
12.23,3.68,0.07,0.94,0.72,0.02,0.74,0.08,0.66,0.15,0.51
7.15,3.06,0.08,0.63,0.46,0.12,0.58,0.11,0.47,0.04,0.43
10.52,2.99,0.08,0.8,0.47,0,0.47,0.03,0.44,0.04,0.4
11.56,3.56,0.09,6.95,0.96,0.01,0.97,0.03,0.94,0.29,0.65
12.96,3.35,0.09,9.7,-0.18,0.24,0.06,0.05,0.01,0.07,-0.06
10.63,3.07,0.09,7.75,-0.27,0,-0.27,0.03,-0.31,0.02,-0.33
13.83,3.74,0.09,1.01,0.45,2.02,2.47,0.02,2.46,0.62,1.83
15.09,3.39,0.09,1.17,-0.36,0.35,-0.01,0.04,-0.04,0.02,-0.07
15.36,5.34,0.11,11.01,-1.1,0.36,-0.74,0.06,-0.8,-0.34,-0.47
12.77,2.87,0.11,1.08,-0.01,0.23,0.23,0.07,0.16,0.03,0.13
21.01,5.77,0.11,13.24,1.89,0.23,2.12,0.06,2.06,0.53,1.54
20.84,4.35,0.12,15.14,1.23,0.33,1.56,0.04,1.51,0.52,0.99
20.24,4.81,0.42,15.13,-0.1,0.34,0.24,0.16,0.08,0.09,-0.01
13.81,3.77,0.32,9.57,0.16,0.23,0.39,0.09,0.3,0.13,0.17
20,5.02,0.31,14.59,0.08,0.25,0.33,0.11,0.22,0.03,0.19
23.26,4.07,0.32,17.28,1.59,0.27,1.86,0.18,1.69,0.58,1.11
21.94,4.11,0.65,16.81,0.37,0.49,0.85,0.19,0.67,-0.21,0.87
16.45,3.16,0.57,12.17,0.55,0.31,0.87,0.17,0.69,0.21,0.49
19.3,3.75,0.57,15.07,-0.08,0.46,0.37,0.19,0.19,1.96,13.86
49.25,7.88,5.71,2.49,3.22,0.3,3.52,2.68,0.84,0,0.84
38.94,8.59,5.8,2.43,2.07,1.52,3.59,3.01,0.58,0,0.58
37.72,6.56,6.01,30.38,-5.66,1.57,-4.09,3.41,-7.5,0,-7.5
26.11,7.6,5.98,1.93,-2.26,0.34,-1.92,2.75,-4.67,0,-4.67
22.01,5.75,2.24,5.82,5.43,0.2,5.63,2.72,2.91,0.3,2.61
20.13,5.11,3.24,2.73,4.3,0.56,4.86,2.84,2.02,0.6,1.42
17.27,5.79,3.72,1.93,2.34,2.44,4.78,3.39,1.39,4.27,-2.88
17.7,5.04,4.89,1.75,3.41,1.01,4.42,2.96,1.46,0.82,0.64
18.55,5.61,3.85,4.22,4.26,0.74,5,3.25,1.75,1.17,0.58
17.59,5.59,3.76,3.94,3.18,1.71,4.89,2.63,2.26,1.25,1.01
17.82,5.89,3.42,2.17,3.53,0.31,3.84,2.87,0.97,0.39,0.58
18.03,6.04,3.51,2.39,3.39,0.29,3.68,2.5,1.18,0.35,0.83
15.4,6.15,3.42,2.76,0.02,2.49,2.51,1.53,0.98,0.37,0.61
23.98,6.92,3.5,4.22,5.03,1.03,6.06,1.57,4.49,0.39,7.61
20.16,7.25,3.37,5.43,3.85,0.61,4.46,1.63,2.83,0.11,2.72
22.77,7.17,3.41,2.98,2.08,0.36,2.44,1.29,1.15,0.08,1.07
26.55,7.94,3.43,4.81,2.41,0.28,2.69,1.09,1.6,0.37,1.23
24.72,9.22,3.48,4.71,0.58,4.32,4.9,2.18,2.72,-0.15,2.87
21.24,8.66,3.41,3.36,1.82,0.76,2.58,0.8,1.78,0.13,1.65
25.7,10.34,3.32,3.5,1.64,1.37,3.01,1.16,1.85,-0.05,1.9
25.97,7.66,2.56,6.38,2.45,0.53,2.98,0.65,2.33,0.19,2.14
22.42,10.75,3.12,2.79,1.91,0.52,2.43,0.63,1.8,0.55,1.25
26.1,12.66,3.12,4.46,1.21,0.56,1.77,0.73,1.04,0.39,0.65
29.09,15.31,3.14,7.75,1.39,0.4,1.79,0.58,1.21,0.26,0.95
44.98,19.57,3.32,8.08,3.85,0.89,4.74,0.71,4.03,1.18,2.85
45.11,21.01,2.33,5.44,2.83,1.28,4.11,0.7,3.41,0.99,2.42
48.9,22.07,2.34,6.91,1.66,2.76,4.42,0.65,3.77,0.5,3.27
50.64,17.49,2.33,6.39,3.08,1.61,4.69,0.88,3.81,0.95,2.86
65.64,18.74,2.57,7.86,3.12,0.03,3.15,0.93,2.22,1.44,-46.06
66.36,21.88,2.14,5.48,6.02,0.15,6.17,1.22,4.95,1.33,3.62
68.33,21.75,2.2,6.21,8.71,0.3,9.01,1.07,7.94,2.34,5.6
69.08,23.64,2.15,6.13,9.22,0.57,9.8,1.27,8.53,2.37,6.16
82.87,23.16,2,5.12,10.53,0.22,10.75,1.41,9.34,2.52,6.82
74.95,23.38,2.66,4.97,6.07,0.23,6.3,1.17,5.13,1.66,3.47
91.07,24.75,2.85,6.84,7.38,1.75,9.13,1.61,7.52,1.87,5.65
24.52,14.3,0.29,7.04,2.88,1.05,3.94,0.64,3.3,0.99,2.31
27.61,15.34,0.3,7.81,4.15,-0.22,3.93,0.61,3.32,1,2.33
27.94,16.18,0.31,6.84,4.62,-0.54,4.08,0.62,3.46,0.93,2.54
27.95,16.52,0.32,5.97,5.15,-0.01,5.13,1.15,3.98,1.15,2.83
26.86,16.46,0.32,6.55,3.53,0.85,4.38,0.58,3.8,1.11,2.69
26.57,17.6,0.33,5.85,2.78,0.96,3.74,0.93,2.8,0.9,1.91
28.05,17.77,0.61,6.04,3.63,-0.13,3.5,1.23,2.27,1.41,0.86
28.37,17.89,0.38,5.04,5.06,0.81,5.87,0.85,5.02,1.73,3.29
28.24,18.27,0.39,5.17,4.41,1.38,5.8,1.07,4.73,1.62,3.1
27.04,16.87,0.4,4.88,4.89,0.68,5.57,1.01,4.56,1.56,3
18.04,12.77,0.34,13.92,-8.99,-0.66,-9.66,2.08,-11.73,2.32,4.13
17.79,10.81,0.37,3.99,2.62,0.71,3.32,0.71,2.62,0.75,1.86
18.12,11.04,0.38,4.32,2.38,-0.11,2.27,0.3,1.97,0.66,1.31
18.44,11.75,0.39,4.43,1.87,0.66,2.53,0.08,2.45,0.91,1.54
19.92,11.68,0.38,4.35,3.5,-0.56,2.94,0.06,2.88,0.92,1.96
19.13,12.07,0.38,4.72,1.96,0.33,2.29,0.05,2.24,0.74,1.5
19.5,12.44,0.28,4.19,2.59,0.48,3.06,0.09,2.98,1.09,1.89
18.98,12.92,0.28,4.44,1.34,0.66,2,0.03,1.96,0.96,1.01
18.58,13.85,0.27,4.77,-0.32,0.33,0.01,0.05,-0.04,0.7,-0.75
19.95,13.42,0.22,4.17,2.14,1.41,3.55,0.14,3.4,1.29,2.12
19.69,12.06,0.24,5.45,1.94,2.11,4.04,0.19,3.85,0.19,3.66
17.45,12.9,0.27,4.51,-0.22,0.47,0.24,0.14,0.1,-0.25,0.35
18.97,13.64,0.2,4.68,0.45,1.59,2.05,0.17,1.88,0.97,0.9
19.03,14.05,0.53,6.48,-2.03,0.4,-1.63,0.19,-1.82,-0.24,-1.58
20.11,14.85,0.62,5.64,-1,0.38,-0.61,0.23,-0.84,-0.15,-0.69
20.09,15.42,0.65,5.19,-1.17,0.89,-0.28,0.29,-0.57,0.07,-0.64
24.6,15.35,0.44,5.09,3.73,2.23,5.96,0.29,5.67,1.67,4
26.26,16.65,0.47,4.3,4.84,1.18,6.03,0.42,5.61,1.49,4.13
28.46,17.88,0.24,5.54,4.79,0.18,4.97,0.37,4.6,1.19,3.41
26.04,19.01,0.14,4.89,2,1.06,3.06,0.49,2.57,0.61,1.96
32.45,19.48,0.16,8.05,4.76,1.03,5.79,0.61,5.18,2.02,3.16
33.77,21.28,0.18,7.61,4.7,0.43,5.13,0.65,4.49,0.87,3.62
35.05,22.98,0.59,6.81,4.67,0.6,5.27,0.81,4.46,1.05,3.41
34.1,24,0.54,6.09,3.46,3.86,7.32,0.69,6.63,2.44,4.2
38.15,25.41,0.5,9.55,2.69,1.26,3.94,0.99,2.95,1,1.95
34.44,21.76,0.49,7.8,4.39,2.68,7.07,0.74,6.33,2.04,4.28
37.61,22.45,0.56,10.84,3.75,1.53,5.29,0.79,4.49,1.42,3.08
34.2,20.97,0.61,9.98,2.63,2.65,5.29,0.99,4.3,1.88,2.42
32.91,21.42,0.64,6.31,4.55,3.62,8.17,1.33,6.84,1.1,5.74
29.83,19.88,0.68,9.4,-0.14,2.31,2.17,1.19,0.98,0.82,0.16
31.82,17.83,0.72,12.32,0.95,1.98,2.93,1.85,1.08,0.77,0.31
27.53,18.11,0.74,10.69,-2.01,2.78,0.78,1.54,-0.77,-1.79,1.03
33.1,17.95,0.73,14.02,0.39,4.77,5.16,1.51,3.66,1.46,2.19
31.36,18.16,0.71,10.79,1.7,2.75,4.45,1.58,2.87,0.91,1.96
37.32,18.73,0.68,13.84,4.07,5.23,9.3,1.11,8.19,2.76,5.43
18.11,0,0.02,18.02,0.07,-0.05,0.07,-0.05,0.07,-0.05,-0.05
19.94,0,0.02,19.8,0.12,0.01,0.13,-0.14,0.13,-0.14,0.01
25.73,0,0.02,25.83,-0.12,0.34,0.21,0.2,0.21,0.2,0.34
24.79,0,0.02,24.89,-0.11,0.22,0.12,1.37,0.11,1.37,0.22
19.21,0,0.02,19.09,0.1,0.28,0.1,0.28,0.1,0.28,0.28
27.8,0,0.02,27.55,0.23,0,0.23,0,0.23,0,0
32.16,0.08,0.02,0.08,0.28,0.02,0.3,-1.34,0.3,-1.34,0.02
28.39,-0.02,0.01,2.34,-1.79,0.55,-1.79,0.55,-1.79,-0.04,0.55
21.45,0.02,0,0.04,1.34,-0.31,1.34,-0.31,1.34,-0.31,-0.31
29.64,0.01,0,0.01,0.12,0.05,0.12,0.05,0.11,0.05,0.05
28.88,0.02,0,0.02,0.32,0.23,0.32,0.23,0.32,0.23,0.23
21.65,0.05,0,0.11,-1.82,0.14,-1.68,-0.01,-1.67,0.15,0.14
