Tag Index,Content
1,Sector:IT - SoftwareIndustry:Computers - Software - Large
2,Part ofBSE SensexNifty 50BSE 500BSE Information TechnologyBSE 100BSE 200BSE Dollex 200BSE TeckNifty 500Nifty ITNifty 100Nifty Services SectorNifty 200Nifty Dividend Opportunities 50Nifty50 Value 20Nifty Growth Sectors 15Nifty 100 Equal WeightBSE AllcapBSE LargeCapBSE SENSEX 50Nifty100 Quality 30BSE 250 LargeMidCap IndexBSE Dividend Stability IndexBSE Low Volatility IndexBSE Quality IndexNifty 50 Equal WeightNifty 100 Low Volatility 30BSE 100 LargeCap TMC IndexNifty LargeMidcap 250Nifty 500 Multicap 50:25:25Nifty200 Quality 30Nifty100 ESGNifty India Digital IndexNifty Total MarketNifty Alpha Low-Volatility 30Nifty Tata Group 25% Capshow all
